"Buchholz's OCF","Madore's OCF"
"\psi(\Omega^{\Omega \cdot 4})","\psi(\Omega^{\Omega \cdot 4})"
"\psi(\Omega^{\Omega \cdot 5})","\psi(\Omega^{\Omega \cdot 5})"
"\psi(\Omega^{\Omega \cdot \omega})","\psi(\Omega^{\Omega \cdot \omega})"
"\psi(\Omega^{\Omega \cdot \psi(\Omega^\Omega)})","\psi(\Omega^{\Omega \cdot \psi(\Omega^\Omega)})"
"\psi(\Omega^{\Omega^2})","\psi(\Omega^{\Omega^2})"
"\psi(\Omega^{\Omega^2 + \psi(\Omega^{\Omega^2})})","\psi(\Omega^{\Omega^2 + \psi(\Omega^{\Omega^2})})"
"\psi(\Omega^{\Omega^2 \cdot 2})","\psi(\Omega^{\Omega^2 \cdot 2})"
"\psi(\Omega^{\Omega^2 \cdot 2} \cdot 2)","\psi(\Omega^{\Omega^2 \cdot 2} \cdot 2)"
"\psi(\Omega^{\Omega^2 \cdot 2+1})","\psi(\Omega^{\Omega^2 \cdot 2+1})"
"\psi(\Omega^{\Omega^2 \cdot 2+2})","\psi(\Omega^{\Omega^2 \cdot 2+2})"
"\psi(\Omega^{\Omega^2 \cdot 2+\psi(\Omega^{\Omega^2})})","\psi(\Omega^{\Omega^2 \cdot 2+\psi(\Omega^{\Omega^2})})"
"\psi(\Omega^{\Omega^2 \cdot 2+\Omega})","\psi(\Omega^{\Omega^2 \cdot 2+\Omega})"
"\psi(\Omega^{\Omega^2 \cdot 2+\Omega+1})","\psi(\Omega^{\Omega^2 \cdot 2+\Omega+1})"
"\psi(\Omega^{\Omega^2 \cdot 2 + \Omega \cdot 2})","\psi(\Omega^{\Omega^2 \cdot 2 + \Omega \cdot 2})"
"\psi(\Omega^{\Omega^2 \cdot 2+\Omega \cdot \psi(\Omega^{\Omega^2})})","\psi(\Omega^{\Omega^2 \cdot 2+\Omega \cdot \psi(\Omega^{\Omega^2})})"
"\psi(\Omega^{\Omega^2 \cdot 3})","\psi(\Omega^{\Omega^2 \cdot 3})"
"\psi(\Omega^{\Omega^2 \cdot \psi(\Omega^2)})","\psi(\Omega^{\Omega^2 \cdot \psi(\Omega^2)})"
"\psi(\Omega^{\Omega^3})","\psi(\Omega^{\Omega^3})"
"\psi(\Omega^{\Omega^3 \cdot 2})","\psi(\Omega^{\Omega^3 \cdot 2})"
"\psi(\Omega^{\Omega^3 \cdot 2+1})","\psi(\Omega^{\Omega^3 \cdot 2+1})"
"\psi(\Omega^{\Omega^3 \cdot 2+\Omega})","\psi(\Omega^{\Omega^3 \cdot 2+\Omega})"
"\psi(\Omega^{\Omega^3 \cdot 2+\Omega^2})","\psi(\Omega^{\Omega^3 \cdot 2+\Omega^2})"
"\psi(\Omega^{\Omega^4})","\psi(\Omega^{\Omega^4})"
"\psi(\Omega^{\Omega^5})","\psi(\Omega^{\Omega^5})"
"\psi(\Omega^{\Omega^6})","\psi(\Omega^{\Omega^6})"
"\psi(\Omega^{\Omega^\omega})","\psi(\Omega^{\Omega^\omega})"
"\psi(\Omega^{\Omega^\omega + \Omega})","\psi(\Omega^{\Omega^\omega + 1})"
"\psi(\Omega^{\Omega^\omega + \Omega^4})","\psi(\Omega^{\Omega^\omega + \Omega^4})"
"\psi(\Omega^{\Omega^\omega + \Omega^5})","\psi(\Omega^{\Omega^\omega + \Omega^5})"
"\psi(\Omega^{\Omega^\omega \cdot 2})","\psi(\Omega^{\Omega^\omega \cdot 2})"
"\psi(\Omega^{\Omega^{\omega+1}})","\psi(\Omega^{\Omega^{\omega+1}})"
"\psi(\Omega^{\Omega^{\omega+2}})","\psi(\Omega^{\Omega^{\omega+2}})"
"\psi(\Omega^{\Omega^{\psi(\Omega^\omega)}})","\psi(\Omega^{\Omega^{\psi(\Omega^\omega)}})"
"\psi(\Omega^{\Omega^{\psi(\Omega^{\Omega^\omega})}})","\psi(\Omega^{\Omega^{\psi(\Omega^{\Omega^\omega})}})"
"\psi(\Omega^{\Omega^\Omega})","\psi(\Omega^{\Omega^\Omega})"
"\psi(\Omega^{\Omega^\Omega + \Omega^{\psi(\Omega^{\Omega^\Omega})}})","\psi(\Omega^{\Omega^\Omega + \Omega^{\psi(\Omega^{\Omega^\Omega})}})"
"\psi(\Omega^{\Omega^\Omega \cdot 2})","\psi(\Omega^{\Omega^\Omega \cdot 2})"
"\psi(\Omega^{\Omega^{\Omega+1}})","\psi(\Omega^{\Omega^{\Omega+1}})"
"\psi(\Omega^{\Omega^{\Omega+1} \cdot 2})","\psi(\Omega^{\Omega^{\Omega+1} \cdot 2})"
"\psi(\Omega^{\Omega^{\Omega+2}})","\psi(\Omega^{\Omega^{\Omega+2}})"
"\psi(\Omega^{\Omega^{\Omega+3}})","\psi(\Omega^{\Omega^{\Omega+3}})"
"\psi(\Omega^{\Omega^{\Omega+\omega}})","\psi(\Omega^{\Omega^{\Omega+\omega}})"
"\psi(\Omega^{\Omega^{\Omega+\omega^2}})","\psi(\Omega^{\Omega^{\Omega+\omega^2}})"
"\psi(\Omega^{\Omega^{\Omega+\omega^\omega}})","\psi(\Omega^{\Omega^{\Omega+\omega^\omega}})"
"\psi(\Omega^{\Omega^{\Omega+\psi(\Omega)}})","\psi(\Omega^{\Omega^{\Omega+\psi(\Omega)}})"
"\psi(\Omega^{\Omega^{\Omega+\psi(\Omega^2)}})","\psi(\Omega^{\Omega^{\Omega+\psi(\Omega^2)}})"
"\psi(\Omega^{\Omega^{\Omega+\psi(\Omega^\omega)}})","\psi(\Omega^{\Omega^{\Omega+\psi(\Omega^\omega)}})"
"\psi(\Omega^{\Omega^{\Omega+\psi(\Omega^\Omega)}})","\psi(\Omega^{\Omega^{\Omega+\psi(\Omega^\Omega)}})"
"\psi(\Omega^{\Omega^{\Omega^\Omega}})","\psi(\Omega^{\Omega^{\Omega^\Omega}})"
"\psi(\Omega^{\Omega^{\Omega^\Omega+1}})","\psi(\Omega^{\Omega^{\Omega^\Omega+1}})"
"\psi(\Omega^{\Omega^{\Omega^\Omega+2}})","\psi(\Omega^{\Omega^{\Omega^\Omega+2}})"
"\psi(\Omega^{\Omega^{\Omega^\Omega+\omega}})","\psi(\Omega^{\Omega^{\Omega^\Omega+\omega}})"
"\psi(\Omega^{\Omega^{\Omega^\Omega+\psi(\Omega^{\Omega^\Omega})}})","\psi(\Omega^{\Omega^{\Omega^\Omega+\psi(\Omega^{\Omega^\Omega})}})"
"\psi(\Omega^{\Omega^{\Omega^\Omega + \Omega^{\psi(\Omega^{\Omega^\Omega})}}})","\psi(\Omega^{\Omega^{\Omega^\Omega + \Omega^{\psi(\Omega^{\Omega^\Omega})}}})"
"\psi(\Omega^{\Omega^{\Omega^\Omega \cdot 2}})","\psi(\Omega^{\Omega^{\Omega^\Omega \cdot 2}})"
"\psi(\Omega^{\Omega^{\Omega^\Omega \cdot 2+1}})","\psi(\Omega^{\Omega^{\Omega^\Omega \cdot 2+1}})"
"\psi(\Omega^{\Omega^{\Omega^\Omega \cdot 2 + \psi(\Omega^{\Omega^\Omega \cdot 2})}})","\psi(\Omega^{\Omega^{\Omega^\Omega \cdot 2 + \psi(\Omega^{\Omega^\Omega \cdot 2})}})"
"\psi(\Omega^{\Omega^{\Omega^\Omega \cdot 3}})","\psi(\Omega^{\Omega^{\Omega^\Omega \cdot 3}})"
"\psi(\Omega^{\Omega^{\Omega^\Omega \cdot \omega}})","\psi(\Omega^{\Omega^{\Omega^\Omega \cdot \omega}})"
"\psi(\Omega^{\Omega^{\Omega^\Omega \cdot \psi(\Omega^{\Omega^\Omega})}})","\psi(\Omega^{\Omega^{\Omega^\Omega \cdot \psi(\Omega^{\Omega^\Omega})}})"
"\psi(\Omega^{\Omega^{\Omega^{\Omega^\Omega}}})","\psi(\Omega^{\Omega^{\Omega^{\Omega^\Omega}}})"
"\psi(\Omega^{\Omega^{\Omega^{\Omega^\Omega+1}}})","\psi(\Omega^{\Omega^{\Omega^{\Omega^\Omega+1}}})"
"\psi(\Omega^{\Omega^{\Omega^{\Omega^\Omega+2}}})","\psi(\Omega^{\Omega^{\Omega^{\Omega^\Omega+2}}})"
"\psi(\Omega^{\Omega^{\Omega^{\Omega^\Omega+\omega}}})","\psi(\Omega^{\Omega^{\Omega^{\Omega^\Omega+\omega}}})"
"\psi(\Omega^{\Omega^{\Omega^{\Omega^\Omega+\psi(\Omega^{\Omega^\Omega})}}})","\psi(\Omega^{\Omega^{\Omega^{\Omega^\Omega+\psi(\Omega^{\Omega^\Omega})}}})"
"\psi(\Omega^{\Omega^{\Omega^{\Omega^\Omega \cdot 2}}})","\psi(\Omega^{\Omega^{\Omega^{\Omega^\Omega \cdot 2}}})"
"\psi(\Omega^{\Omega^{\Omega^{\Omega^\Omega \cdot 3}}})","\psi(\Omega^{\Omega^{\Omega^{\Omega^\Omega \cdot 3}}})"
"\psi(\Omega^{\Omega^{\Omega^{\Omega^\Omega \cdot \omega}}})","\psi(\Omega^{\Omega^{\Omega^{\Omega^\Omega \cdot \omega}}})"
"\psi(\Omega^{\Omega^{\Omega^{\Omega^\Omega \cdot \psi(\Omega^{\Omega^\Omega})}}})","\psi(\Omega^{\Omega^{\Omega^{\Omega^\Omega \cdot \psi(\Omega^{\Omega^\Omega})}}})"
"\psi(\Omega_2)","\psi(\psi_1(0))"
"\psi(\Omega_2 + \Omega)","\psi(\psi_1(0) + 1)"
"\psi(\Omega_2 + \Omega^2)","\psi(\psi_1(0) + \Omega)"
"\psi(\Omega_2 + \Omega^{\Omega^2})","\psi(\psi_1(0) + \Omega^{\Omega^2})"
"\psi(\Omega_2 + \psi_1(\Omega_2))","\psi(\psi_1(0) \cdot 2)"
"\psi(\Omega_2 + \psi_1(\Omega_2) \cdot 2)","\psi(\psi_1(0) \cdot 3)"
"\psi(\Omega_2 + \psi_1(\Omega_2 + 1))","\psi(\psi_1(0) \cdot \omega)"
"\psi(\Omega_2 + \psi_1(\Omega_2 + \psi(\Omega_2)))","\psi(\psi_1(0) \cdot \psi(\psi_1(0)))"
"\psi(\Omega_2 + \psi_1(\Omega_2 + \Omega))","\psi(\psi_1(0) \cdot \Omega)"
"\psi(\Omega_2 + \psi_1(\Omega_2 + \Omega^{\Omega^2}))","\psi(\psi_1(0) \cdot \Omega^{\Omega^2})"
"\psi(\Omega_2 + \psi_1(\Omega_2 + \psi_1(\Omega_2)))","\psi(\psi_1(0)^2)"
"\psi(\Omega_2 + \psi_1(\Omega_2 + \psi_1(\Omega_2)) \cdot 2)","\psi(\psi_1(0)^2 \cdot 2)"
"\psi(\Omega_2 + \psi_1(\Omega_2 + \psi_1(\Omega_2) \cdot 2))","\psi(\psi_1(0)^3)"
"\psi(\Omega_2 + \psi_1(\Omega_2 + \psi_1(\Omega_2 + 1)))","\psi(\psi_1(0)^\omega)"
"\psi(\Omega_2 + \psi_1(\Omega_2 + \psi_1(\Omega_2 + \Omega)))","\psi(\psi_1(0)^\Omega)"
"\psi(\Omega_2 + \psi_1(\Omega_2 + \psi_1(\Omega_2 + \Omega^{\Omega^2})))","\psi(\psi_1(0)^{\Omega^{\Omega^2}})"
"\psi(\Omega_2 + \psi_1(\Omega_2 + \psi_1(\Omega_2 + \psi_1(\Omega_2))))","\psi(\psi_1(0)^{\psi_1(0)})"
"\psi(\Omega_2 \cdot 2)","\psi(\psi_1(1))"
"\psi(\Omega_2 \cdot 2 + \psi_1(\Omega_2))","\psi(\psi_1(1) + \psi_1(0))"
"\psi(\Omega_2 \cdot 2 + \psi_1(\Omega_2 \cdot 2))","\psi(\psi_1(1) \cdot 2)"
"\psi(\Omega_2 \cdot 2 + \psi_1(\Omega_2 \cdot 2 + \psi_1(\Omega_2 \cdot 2)))","\psi(\psi_1(1)^2)"
"\psi(\Omega_2 \cdot 3)","\psi(\psi_1(2))"
"\psi(\Omega_2 \cdot \omega)","\psi(\psi_1(\omega))"
"\psi(\Omega_2 \cdot \psi(\Omega_2))","\psi(\psi_1(\psi(\psi_1(0))))"
"\psi(\Omega_2 \cdot \Omega)","\psi(\psi_1(\Omega))"
"\psi(\Omega_2 \cdot \Omega^2)","\psi(\psi_1(\Omega^2))"
"\psi(\Omega_2 \cdot \psi_1(\Omega_2))","\psi(\psi_1(\psi_1(0)))"
"\psi(\Omega_2^2)","\psi(\Omega_2)"
"ψ(Ω_2^2+ψ_1(Ω_2))","\psi(\Omega_{2} + \psi_{1}(0))"
"\psi(\Omega_2^2 + \psi_1(\Omega_2^2))","\psi(\Omega_2 + \psi_1(\Omega_2))"
"\psi(\Omega_2^2 + \Omega_2)","\psi(\Omega_2 + \psi_1(\Omega_2 + 1))"
"ψ(Ω_2^2+Ω_2×ψ_1(Ω_2))","\psi(\Omega_{2} + \psi_{1}(\Omega_{2} + \psi_{1}(0)))"
"\psi(\Omega_2^2 + \Omega_2 \cdot \psi_1(\Omega_2^2))","\psi(\Omega_2 + \psi_1(\Omega_2 + \psi_1(\Omega_2)))"
"\psi(\Omega_2^2 \cdot 2)","\psi(\Omega_2 \cdot 2)"
"\psi(\Omega_2^2 \cdot \Omega)","\psi(\Omega_2 \cdot \Omega)"
"\psi(\Omega_2^2 \cdot \psi_1(\Omega_2^2))","\psi(\Omega_2 \cdot \psi_1(\Omega_2))"
"\psi(\Omega_2^3)","\psi(\Omega_2^2)"
"ψ(Ω_2^3+ψ_1(Ω_2))","\psi(\Omega_{2}^{2} + \psi_{1}(0))"
"\psi(\Omega_2^4)","\psi(\Omega_2^3)"
"\psi(\Omega_2^\omega)","\psi(\Omega_2^\omega)"
"\psi( \Omega_2^{\psi(\Omega_2^\omega)})","\psi(\Omega_2^{\psi(\Omega_2^\omega)})"
"\psi( \Omega_2^\Omega)","\psi(\Omega_2^\Omega)"
"\psi( \Omega_2^{\psi_1(\Omega_2^\Omega)})","\psi(\Omega_2^{\psi_1(\Omega_2^\Omega)})"
"\psi( \Omega_2^{\Omega_2})","\psi(\Omega_2^{\Omega_2})"
"\psi( \Omega_2^{\Omega_2} + \Omega)","\psi(\Omega_2^{\Omega_2} + 1)"
"\psi( \Omega_2^{\Omega_2} + \psi_1(\Omega_2))","\psi(\Omega_2^{\Omega_2} + \psi_1(0))"
"\psi( \Omega_2^{\Omega_2} + \psi_1(\Omega_2^{\Omega_2}))","\psi(\Omega_2^{\Omega_2} + \psi_1(\Omega_2^{\Omega_2}))"
"\psi(\Omega_2^{\Omega_2} + \Omega_2)","\psi(\Omega_{2}^{\Omega_{2}} + \psi_{1}(\Omega_{2}^{\Omega_{2}} + 1))"
"\psi( \Omega_2^{\Omega_2} + \Omega_2^\omega)","\psi(\Omega_2^{\Omega_2} + \Omega_2^\omega)"
"\psi( \Omega_2^{\Omega_2} + \Omega_2^\Omega)","\psi(\Omega_2^{\Omega_2} + \Omega_2^\Omega)"
"\psi( \Omega_2^{\Omega_2} + \Omega_2^{\psi_1(\Omega_2)})","\psi(\Omega_{2}^{\Omega_{2}} + \Omega_{2}^{\psi_{1}(0)})"
"\psi( \Omega_2^{\Omega_2} + \Omega_2^{\psi_1(\Omega_2^{\Omega_2})})","\psi(\Omega_2^{\Omega_2} + \Omega_2^{\psi_1(\Omega_2^{\Omega_2})})"
"\psi( \Omega_2^{\Omega_2} \cdot 2)","\psi(\Omega_2^{\Omega_2} \cdot 2)"
"\psi(\Omega_2^{\Omega_2} \cdot \Omega)","\psi(\Omega_2^{\Omega_2} \cdot \Omega)"
"\psi(\Omega_2^{\Omega_2} \cdot \psi_1(\Omega_2))","\psi(\Omega_2^{\Omega_2} \cdot \psi_1(0))"
"\psi( \Omega_2^{\Omega_2+1})","\psi(\Omega_2^{\Omega_2+1})"
"\psi( \Omega_2^{\Omega_2 \cdot 2})","\psi(\Omega_2^{\Omega_2 \cdot 2})"
"\psi( \Omega_2^{\Omega_2 \cdot \Omega})","\psi(\Omega_2^{\Omega_2 \cdot \Omega})"
"\psi( \Omega_2^{\Omega_2^2})","\psi(\Omega_2^{\Omega_2^2})"
"\psi( \Omega_2^{\Omega_2^2 \cdot 2})","\psi(\Omega_2^{\Omega_2^2 \cdot 2})"
"\psi( \Omega_2^{\Omega_2^3})","\psi(\Omega_2^{\Omega_2^3})"
"\psi( \Omega_2^{\Omega_2^\omega})","\psi(\Omega_2^{\Omega_2^\omega})"
"\psi( \Omega_2^{\Omega_2^\Omega})","\psi(\Omega_2^{\Omega_2^\Omega})"
"\psi( \Omega_2^{\Omega_2^{\Omega_2}})","\psi(\Omega_2^{\Omega_2^{\Omega_2}})"
"\psi( \Omega_2^{\Omega_2^{\Omega_2}} \cdot 2)","\psi(\Omega_2^{\Omega_2^{\Omega_2}} \cdot 2)"
"\psi( \Omega_2^{\Omega_2^{\Omega_2 \cdot 2}})","\psi(\Omega_2^{\Omega_2^{\Omega_2 \cdot 2}})"
"\psi( \Omega_2^{\Omega_2^{\Omega_2^2}})","\psi(\Omega_2^{\Omega_2^{\Omega_2^2}})"
"\psi( \Omega_2^{\Omega_2^{\Omega_2^{\Omega_2}}})","\psi(\Omega_2^{\Omega_2^{\Omega_2^{\Omega_2}}})"
"\psi( \Omega_2^{\Omega_2^{\Omega_2^{\Omega_2^\omega}}})","\psi(\Omega_2^{\Omega_2^{\Omega_2^{\Omega_2^\omega}}})"
"\psi( \Omega_3)","\psi(\psi_2(0))"
"\psi( \Omega_3 + \Omega)","\psi(\psi_2(0) + 1)"
"\psi( \Omega_3 + \Omega^\Omega)","\psi(\psi_2(0) + \Omega^\Omega)"
"\psi( \Omega_3 + \psi_1(\Omega_2))","\psi(\psi_2(0) + \psi_1(0))"
"\psi( \Omega_3 + \psi_1(\Omega_3))","\psi(\psi_2(0) + \psi_1(\psi_2(0)))"
"\psi(\Omega_{3} + \Omega_{2})","\psi(\psi_{2}(0) + \psi_{1}(\psi_{2}(0) + 1))"
"\psi( \Omega_3 + \Omega_2^{\Omega_2})","\psi(\psi_2(0) + \Omega_2^{\Omega_2})"
"\psi( \Omega_3 + \psi_2(\Omega_3))","\psi(\psi_2(0) \cdot 2)"
"\psi( \Omega_3 \cdot 2)","\psi(\psi_2(1))"
"\psi( \Omega_3^2)","\psi(\Omega_3)"
"\psi(\Omega_3^\omega)","\psi(\Omega_3^\omega)"
"\psi(\Omega_3^\Omega)","\psi(\Omega_3^\Omega)"
"\psi(\Omega_3^{\Omega_2})","\psi(\Omega_3^{\Omega_2})"
"\psi(\Omega_3^{\Omega_3^\Omega})","\psi(\Omega_3^{\Omega_3^\Omega})"
"\psi(\Omega_3^{\Omega_3^\Omega+1})","\psi(\Omega_3^{\Omega_3^\Omega+1})"
"\psi(\Omega_3^{\Omega_3^\Omega \cdot 2})","\psi(\Omega_3^{\Omega_3^\Omega \cdot 2})"
"\psi(\Omega_3^{\Omega_3^\Omega \cdot \omega})","\psi(\Omega_3^{\Omega_3^\Omega \cdot \omega})"
"\psi(\Omega_3^{\Omega_3^\Omega \cdot \omega^2})","\psi(\Omega_3^{\Omega_3^\Omega \cdot \omega^2})"
"\psi(\Omega_3^{\Omega_3^{\Omega_3^\Omega}})","\psi(\Omega_3^{\Omega_3^{\Omega_3^\Omega}})"
"\psi(\Omega_4)","\psi(\psi_3(0))"
"\psi(\Omega_4 + \Omega \cdot \psi(\Omega_4))","\psi(\psi_3(0) + \psi(\psi_3(0)))"
"\psi(\Omega_4 + \Omega^2)","\psi(\psi_3(0) + \Omega)"
"\psi(\Omega_4 + \Omega_2 \cdot \psi_1(\Omega_4))","\psi(\psi_3(0) + \psi_1(\psi_3(0)))"
"\psi(\Omega_4 + \Omega_2^2)","\psi(\psi_3(0) + \Omega_2)"
"\psi(\Omega_4 + \Omega_3 \cdot \psi_2(\Omega_4))","\psi(\psi_3(0) + \psi_2(\psi_3(0)))"
"\psi(\Omega_4 \cdot 2)","\psi(\psi_3(1))"
"\psi(\Omega_4 \cdot \Omega_3^2)","\psi(\psi_3(\Omega_3^2))"
"\psi(\Omega_4 \cdot \psi_3(\Omega_4))","\psi(\psi_3(\psi_3(0)))"
"\psi(\Omega_4^2)","\psi(\Omega_4)"
"\psi(\Omega_4^\omega)","\psi(\Omega_4^\omega)"
"\psi(\Omega_4^{\Omega_4})","\psi(\Omega_4^{\Omega_4})"
"\psi(\Omega_5)","\psi(\psi_4(0))"
"\psi(\Omega_5^2)","\psi(\Omega_5)"
"\psi(\Omega_5^{\Omega_5})","\psi(\Omega_5^{\Omega_5})"
"\psi(\Omega_6)","\psi(\psi_5(0))"
"\psi(\Omega_7)","\psi(\psi_6(0))"
"\psi(\Omega_\omega)","\psi(\Omega_\omega)"
"ψ(Ω_(ω)+1)","\psi(\Omega_\omega)\times\omega","\psi(\Omega_{\omega})\omega"
"ψ(Ω_(ω)+ω)","\psi(\Omega_\omega)\times\omega^\omega","\psi(\Omega_{\omega})\omega^{\omega}"
"ψ(Ω_(ω)+ψ(Ω))","\psi(\Omega_\omega)\times\psi(0)","\psi(\Omega_{\omega})\psi(0)"
"ψ(Ω_(ω)+ψ(Ω^{2}))","\psi(\Omega_\omega)\times\psi(\Omega)","\psi(\Omega_{\omega})\psi(\Omega)"
"ψ(Ω_(ω)+ψ(Ω_(2)))","\psi(\Omega_\omega)\times\psi(\psi_1(0))","\psi(\Omega_{\omega})\psi(\psi_{1}(0))"
"ψ(Ω_(ω)+ψ(Ω_(3)))","\psi(\Omega_\omega)\times\psi(\psi_2(0))","\psi(\Omega_{\omega})\psi(\psi_{2}(0))"
"ψ(Ω_(ω)+ψ(Ω_(ω))×2)","\psi(\Omega_\omega)^3","\psi(\Omega_{\omega})^{3}"
"ψ(Ω_(ω)+ψ(Ω_(ω)+1))","\psi(\Omega_\omega)^\omega","\psi(\Omega_{\omega})^{\omega}"
"ψ(Ω_(ω)+ψ(Ω_(ω)+ψ(Ω_(ω))))","\psi(\Omega_\omega)^{\psi(\Omega_\omega)}","\psi(\Omega_{\omega})^{\psi(\Omega_{\omega})}"
"ψ(Ω_(ω)+ψ(Ω_(ω)+ψ(Ω_(ω)+ψ(Ω_(ω)))))","\psi(\Omega_\omega)^{\psi(\Omega_\omega)^{\psi(\Omega_\omega)}}","\psi(\Omega_{\omega})^{\psi(\Omega_{\omega})^{\psi(\Omega_{\omega})}}"
"ψ(Ω_(ω)+Ω)","\psi(\Omega_\omega+1)","\psi(\Omega_{\omega} + 1)"
"ψ(Ω_(ω)+Ω×2)","\psi(\Omega_\omega+2)","\psi(\Omega_{\omega} + 2)"
"ψ(Ω_(ω)+Ω×ω)","\psi(\Omega_\omega+\omega)","\psi(\Omega_{\omega} + \omega)"
"ψ(Ω_(ω)+Ω×ω^{ω})","\psi(\Omega_\omega+\omega^\omega)","\psi(\Omega_{\omega} + \omega^{\omega})"
"ψ(Ω_(ω)+Ω×ψ(Ω))","\psi(\Omega_\omega+\psi(0))","\psi(\Omega_{\omega} + \psi(0))"
"ψ(Ω_(ω)+Ω×ψ(Ω×2))","\psi(\Omega_\omega+\psi(1))","\psi(\Omega_{\omega} + \psi(1))"
"ψ(Ω_(ω)+Ω×ψ(Ω^{2}))","\psi(\Omega_\omega+\psi(\Omega))","\psi(\Omega_{\omega} + \psi(\Omega))"
"ψ(Ω_(ω)+Ω×ψ(Ω_(2)))","\psi(\Omega_\omega+\psi(\psi_1(0)))","\psi(\Omega_{\omega} + \psi(\psi_{1}(0)))"
"ψ(Ω_(ω)+Ω×ψ(Ω_(ω)))","\psi(\Omega_\omega+\psi(\Omega_\omega))","\psi(\Omega_{\omega} + \psi(\Omega_{\omega}))"
"ψ(Ω_(ω)+Ω×ψ(Ω_(ω)+Ω))","\psi(\Omega_\omega+\psi(\Omega_\omega+1))","\psi(\Omega_{\omega} + \psi(\Omega_{\omega} + 1))"
"ψ(Ω_(ω)+Ω×ψ(Ω_(ω)+Ω×ψ(Ω_(ω))))","\psi(\Omega_\omega+\psi(\Omega_\omega+\psi(\Omega_\omega)))","\psi(\Omega_{\omega} + \psi(\Omega_{\omega} + \psi(\Omega_{\omega})))"
"ψ(Ω_(ω)+Ω^{2})","\psi(\Omega_\omega+\Omega)","\psi(\Omega_{\omega} + \Omega)"
"ψ(Ω_(ω)+Ω^{2}×ω)","\psi(\Omega_\omega+\Omega\times\omega)","\psi(\Omega_{\omega} + \Omega\omega)"
"ψ(Ω_(ω)+Ω^{3})","\psi(\Omega_\omega+\Omega^2)","\psi(\Omega_{\omega} + \Omega^{2})"
"ψ(Ω_(ω)+Ω^{ω})","\psi(\Omega_\omega+\Omega^\omega)","\psi(\Omega_{\omega} + \Omega^{\omega})"
"ψ(Ω_(ω)+Ω^{ψ(Ω_(ω))})","\psi(\Omega_\omega+\Omega^{\psi(\Omega_\omega)})","\psi(\Omega_{\omega} + \Omega^{\psi(\Omega_{\omega})})"
"ψ(Ω_(ω)+Ω^{Ω})","\psi(\Omega_\omega+\Omega^\Omega)","\psi(\Omega_{\omega} + \Omega^{\Omega})"
"ψ(Ω_(ω)+ψ_(1)(Ω_(2)))","\psi(\Omega_\omega+\psi_1(0))","\psi(\Omega_{\omega} + \psi_{1}(0))"
"ψ(Ω_(ω)+ψ_(1)(Ω_(2)+1))","\psi(\Omega_\omega+\psi_1(0)\times\omega)","\psi(\Omega_{\omega} + \psi_{1}(0)\omega)"
"ψ(Ω_(ω)+ψ_(1)(Ω_(2)+Ω))","\psi(\Omega_\omega+\psi_1(0)\times\Omega)","\psi(\Omega_{\omega} + \psi_{1}(0)\Omega)"
"ψ(Ω_(ω)+ψ_(1)(Ω_(2)+ψ_(1)(Ω_(2))))","\psi(\Omega_\omega+\psi_1(0)^2)","\psi(\Omega_{\omega} + \psi_{1}(0)^{2})"
"ψ(Ω_(ω)+ψ_(1)(Ω_(2)+ψ_(1)(Ω_(2)+1)))","\psi(\Omega_\omega+\psi_1(0)^\omega)","\psi(\Omega_{\omega} + \psi_{1}(0)^{\omega})"
"ψ(Ω_(ω)+ψ_(1)(Ω_(2)+ψ_(1)(Ω_(2)+Ω)))","\psi(\Omega_\omega+\psi_1(0)^\Omega)","\psi(\Omega_{\omega} + \psi_{1}(0)^{\Omega})"
"ψ(Ω_(ω)+ψ_(1)(Ω_(2)+ψ_(1)(Ω_(2)+Ω×2)))","\psi(\Omega_\omega+\psi_1(0)^{\Omega^2})","\psi(\Omega_{\omega} + \psi_{1}(0)^{\Omega^{2}})"
"ψ(Ω_(ω)+ψ_(1)(Ω_(2)+ψ_(1)(Ω_(2)+Ω^{2})))","\psi(\Omega_\omega+\psi_1(0)^{\Omega^\Omega})","\psi(\Omega_{\omega} + \psi_{1}(0)^{\Omega^{\Omega}})"
"ψ(Ω_(ω)+ψ_(1)(Ω_(2)+ψ_(1)(Ω_(2)+ψ_(1)(Ω_(2)))))","\psi(\Omega_\omega+\psi_1(0)^{\psi_1(0)})","\psi(\Omega_{\omega} + \psi_{1}(0)^{\psi_{1}(0)})"
"ψ(Ω_(ω)+ψ_(1)(Ω_(2)×2))","\psi(\Omega_\omega+\psi_1(1))","\psi(\Omega_{\omega} + \psi_{1}(1))"
"ψ(Ω_(ω)+ψ_(1)(Ω_(2)×ω))","\psi(\Omega_\omega+\psi_1(\omega))","\psi(\Omega_{\omega} + \psi_{1}(\omega))"
"ψ(Ω_(ω)+ψ_(1)(Ω_(2)×Ω))","\psi(\Omega_\omega+\psi_1(\Omega))","\psi(\Omega_{\omega} + \psi_{1}(\Omega))"
"ψ(Ω_(ω)+ψ_(1)(Ω_(2)×Ω×ω))","\psi(\Omega_\omega+\psi_1(\Omega\times\omega))","\psi(\Omega_{\omega} + \psi_{1}(\Omega\omega))"
"ψ(Ω_(ω)+ψ_(1)(Ω_(2)×Ω^{2}))","\psi(\Omega_\omega+\psi_1(\Omega^2))","\psi(\Omega_{\omega} + \psi_{1}(\Omega^{2}))"
